"2021/03 Monthly Closing Average Price of 2330"
"Date","Closing Price",
"2021/03/02","609.00",
"2021/03/03","622.00",
"2021/03/04","601.00",
"2021/03/05","601.00",
"2021/03/08","598.00",
"2021/03/09","595.00",
"2021/03/10","597.00",
"2021/03/11","609.00",
"2021/03/12","614.00",
"2021/03/15","611.00",
"2021/03/16","613.00",
"2021/03/17","604.00",
"2021/03/18","602.00",
"2021/03/19","591.00",
"2021/03/22","593.00",
"2021/03/23","594.00",
"2021/03/24","576.00",
"2021/03/25","575.00",
"2021/03/26","590.00",
"2021/03/29","599.00",
"2021/03/30","597.00",
"2021/03/31","587.00",
"Monthly Closing Average Price","599.00",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

