"2021/09 Monthly Closing Average Price of 2330"
"Date","Closing Price",
"2021/09/01","613.00",
"2021/09/02","607.00",
"2021/09/03","620.00",
"2021/09/06","631.00",
"2021/09/07","623.00",
"2021/09/08","619.00",
"2021/09/09","619.00",
"2021/09/10","622.00",
"2021/09/13","615.00",
"2021/09/14","613.00",
"2021/09/15","607.00",
"2021/09/16","600.00",
"2021/09/17","600.00",
"2021/09/22","586.00",
"2021/09/23","588.00",
"2021/09/24","598.00",
"2021/09/27","602.00",
"2021/09/28","594.00",
"2021/09/29","580.00",
"2021/09/30","580.00",
"Monthly Closing Average Price","605.85",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

