"2021/07 Monthly Closing Average Price of 2330"
"Date","Closing Price",
"2021/07/01","593.00",
"2021/07/02","588.00",
"2021/07/05","591.00",
"2021/07/06","592.00",
"2021/07/07","594.00",
"2021/07/08","588.00",
"2021/07/09","584.00",
"2021/07/12","593.00",
"2021/07/13","607.00",
"2021/07/14","613.00",
"2021/07/15","614.00",
"2021/07/16","589.00",
"2021/07/19","582.00",
"2021/07/20","581.00",
"2021/07/21","585.00",
"2021/07/22","591.00",
"2021/07/23","585.00",
"2021/07/26","580.00",
"2021/07/27","580.00",
"2021/07/28","579.00",
"2021/07/29","583.00",
"2021/07/30","580.00",
"Monthly Closing Average Price","589.64",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

