"2021/01 Monthly Closing Average Price of 2330"
"Date","Closing Price",
"2021/01/04","536.00",
"2021/01/05","542.00",
"2021/01/06","549.00",
"2021/01/07","565.00",
"2021/01/08","580.00",
"2021/01/11","584.00",
"2021/01/12","591.00",
"2021/01/13","605.00",
"2021/01/14","592.00",
"2021/01/15","601.00",
"2021/01/18","607.00",
"2021/01/19","627.00",
"2021/01/20","647.00",
"2021/01/21","673.00",
"2021/01/22","649.00",
"2021/01/25","633.00",
"2021/01/26","617.00",
"2021/01/27","615.00",
"2021/01/28","601.00",
"2021/01/29","591.00",
"Monthly Closing Average Price","600.25",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

