"2021/05 Monthly Closing Average Price of 2330"
"Date","Closing Price",
"2021/05/03","588.00",
"2021/05/04","591.00",
"2021/05/05","585.00",
"2021/05/06","587.00",
"2021/05/07","599.00",
"2021/05/10","589.00",
"2021/05/11","571.00",
"2021/05/12","560.00",
"2021/05/13","547.00",
"2021/05/14","557.00",
"2021/05/17","549.00",
"2021/05/18","572.00",
"2021/05/19","567.00",
"2021/05/20","567.00",
"2021/05/21","573.00",
"2021/05/24","568.00",
"2021/05/25","583.00",
"2021/05/26","585.00",
"2021/05/27","582.00",
"2021/05/28","590.00",
"2021/05/31","597.00",
"Monthly Closing Average Price","576.52",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

