"2021/06 Monthly Closing Average Price of 2330"
"Date","Closing Price",
"2021/06/01","598.00",
"2021/06/02","595.00",
"2021/06/03","596.00",
"2021/06/04","595.00",
"2021/06/07","592.00",
"2021/06/08","589.00",
"2021/06/09","586.00",
"2021/06/10","599.00",
"2021/06/11","602.00",
"2021/06/15","609.00",
"2021/06/16","605.00",
"2021/06/17","606.00",
"2021/06/18","603.00",
"2021/06/21","583.00",
"2021/06/22","578.00",
"2021/06/23","595.00",
"2021/06/24","590.00",
"2021/06/25","591.00",
"2021/06/28","590.00",
"2021/06/29","595.00",
"2021/06/30","595.00",
"Monthly Closing Average Price","594.86",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

