"2021/08 Monthly Closing Average Price of 2330"
"Date","Closing Price",
"2021/08/02","590.00",
"2021/08/03","594.00",
"2021/08/04","596.00",
"2021/08/05","596.00",
"2021/08/06","591.00",
"2021/08/09","595.00",
"2021/08/10","591.00",
"2021/08/11","590.00",
"2021/08/12","586.00",
"2021/08/13","581.00",
"2021/08/16","584.00",
"2021/08/17","580.00",
"2021/08/18","574.00",
"2021/08/19","559.00",
"2021/08/20","552.00",
"2021/08/23","566.00",
"2021/08/24","572.00",
"2021/08/25","585.00",
"2021/08/26","594.00",
"2021/08/27","599.00",
"2021/08/30","605.00",
"2021/08/31","614.00",
"Monthly Closing Average Price","586.09",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

