"2021/02 Monthly Closing Average Price of 2330"
"Date","Closing Price",
"2021/02/01","611.00",
"2021/02/02","632.00",
"2021/02/03","630.00",
"2021/02/04","627.00",
"2021/02/05","632.00",
"2021/02/17","663.00",
"2021/02/18","660.00",
"2021/02/19","652.00",
"2021/02/22","650.00",
"2021/02/23","641.00",
"2021/02/24","625.00",
"2021/02/25","635.00",
"2021/02/26","606.00",
"Monthly Closing Average Price","635.69",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

