"2021/03 Monthly Closing Average Price of 2303"
"Date","Closing Price",
"2021/03/02","52.70",
"2021/03/03","51.90",
"2021/03/04","49.05",
"2021/03/05","47.05",
"2021/03/08","46.10",
"2021/03/09","46.35",
"2021/03/10","46.55",
"2021/03/11","48.65",
"2021/03/12","49.10",
"2021/03/15","48.15",
"2021/03/16","48.30",
"2021/03/17","48.00",
"2021/03/18","47.05",
"2021/03/19","46.05",
"2021/03/22","48.20",
"2021/03/23","48.50",
"2021/03/24","47.15",
"2021/03/25","48.65",
"2021/03/26","49.75",
"2021/03/29","49.35",
"2021/03/30","50.60",
"2021/03/31","50.20",
"Monthly Closing Average Price","48.52",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

