"2021/04 Monthly Closing Average Price of 2303"
"Date","Closing Price",
"2021/04/01","50.50",
"2021/04/06","50.70",
"2021/04/07","51.50",
"2021/04/08","54.00",
"2021/04/09","53.00",
"2021/04/12","53.60",
"2021/04/13","54.40",
"2021/04/14","52.70",
"2021/04/15","53.10",
"2021/04/16","54.00",
"2021/04/19","54.60",
"2021/04/20","54.10",
"2021/04/21","53.40",
"2021/04/22","54.80",
"2021/04/23","57.00",
"2021/04/26","61.80",
"2021/04/27","60.50",
"2021/04/28","60.00",
"2021/04/29","56.70",
"Monthly Closing Average Price","54.76",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

