"2021/05 Monthly Closing Average Price of 2303"
"Date","Closing Price",
"2021/05/03","53.00",
"2021/05/04","54.60",
"2021/05/05","51.80",
"2021/05/06","51.30",
"2021/05/07","54.00",
"2021/05/10","52.50",
"2021/05/11","49.00",
"2021/05/12","46.35",
"2021/05/13","47.55",
"2021/05/14","46.80",
"2021/05/17","43.95",
"2021/05/18","48.30",
"2021/05/19","48.30",
"2021/05/20","46.50",
"2021/05/21","46.95",
"2021/05/24","48.70",
"2021/05/25","51.90",
"2021/05/26","51.30",
"2021/05/27","50.60",
"2021/05/28","52.40",
"2021/05/31","53.00",
"Monthly Closing Average Price","49.94",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

