"2021/02 Monthly Closing Average Price of 2303"
"Date","Closing Price",
"2021/02/01","50.80",
"2021/02/02","52.60",
"2021/02/03","52.00",
"2021/02/04","51.90",
"2021/02/05","52.90",
"2021/02/17","57.60",
"2021/02/18","58.20",
"2021/02/19","57.20",
"2021/02/22","56.80",
"2021/02/23","55.80",
"2021/02/24","54.70",
"2021/02/25","55.70",
"2021/02/26","54.20",
"Monthly Closing Average Price","54.65",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

