"2021/08 Monthly Closing Average Price of 2303"
"Date","Closing Price",
"2021/08/02","57.50",
"2021/08/03","59.40",
"2021/08/04","60.50",
"2021/08/05","63.40",
"2021/08/06","62.10",
"2021/08/09","61.90",
"2021/08/10","59.80",
"2021/08/11","59.90",
"2021/08/12","60.10",
"2021/08/13","57.60",
"2021/08/16","57.10",
"2021/08/17","56.10",
"2021/08/18","58.10",
"2021/08/19","55.50",
"2021/08/20","55.70",
"2021/08/23","58.60",
"2021/08/24","58.40",
"2021/08/25","60.00",
"2021/08/26","61.20",
"2021/08/27","61.70",
"2021/08/30","62.80",
"2021/08/31","63.10",
"Monthly Closing Average Price","59.57",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

