"2021/07 Monthly Closing Average Price of 2303"
"Date","Closing Price",
"2021/07/01","52.10",
"2021/07/02","52.60",
"2021/07/05","54.40",
"2021/07/06","53.40",
"2021/07/07","53.60",
"2021/07/08","53.10",
"2021/07/09","52.20",
"2021/07/12","53.20",
"2021/07/13","53.90",
"2021/07/14","54.00",
"2021/07/15","55.10",
"2021/07/16","53.70",
"2021/07/19","52.60",
"2021/07/20","52.40",
"2021/07/21","50.80",
"2021/07/22","52.00",
"2021/07/23","52.70",
"2021/07/26","53.70",
"2021/07/27","53.10",
"2021/07/28","51.80",
"2021/07/29","54.60",
"2021/07/30","57.80",
"Monthly Closing Average Price","53.31",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

