"2021/09 Monthly Closing Average Price of 2303"
"Date","Closing Price",
"2021/09/01","64.10",
"2021/09/02","64.00",
"2021/09/03","70.00",
"2021/09/06","69.90",
"2021/09/07","68.20",
"2021/09/08","65.80",
"2021/09/09","67.50",
"2021/09/10","68.20",
"2021/09/13","66.80",
"2021/09/14","66.00",
"2021/09/15","65.60",
"2021/09/16","66.20",
"2021/09/17","65.60",
"2021/09/22","64.60",
"2021/09/23","65.20",
"2021/09/24","67.00",
"2021/09/27","66.30",
"2021/09/28","65.30",
"2021/09/29","63.00",
"2021/09/30","64.00",
"Monthly Closing Average Price","66.16",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

