"2021/01 Monthly Closing Average Price of 2303"
"Date","Closing Price",
"2021/01/04","45.55",
"2021/01/05","46.35",
"2021/01/06","46.95",
"2021/01/07","46.20",
"2021/01/08","47.85",
"2021/01/11","50.00",
"2021/01/12","48.45",
"2021/01/13","50.00",
"2021/01/14","49.90",
"2021/01/15","48.75",
"2021/01/18","49.65",
"2021/01/19","53.00",
"2021/01/20","52.10",
"2021/01/21","54.00",
"2021/01/22","56.50",
"2021/01/25","57.20",
"2021/01/26","54.80",
"2021/01/27","54.80",
"2021/01/28","51.20",
"2021/01/29","50.00",
"Monthly Closing Average Price","50.66",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

