"2021/08 Monthly Closing Average Price of 2454"
"Date","Closing Price",
"2021/08/02","934.00",
"2021/08/03","938.00",
"2021/08/04","950.00",
"2021/08/05","961.00",
"2021/08/06","936.00",
"2021/08/09","921.00",
"2021/08/10","922.00",
"2021/08/11","910.00",
"2021/08/12","904.00",
"2021/08/13","910.00",
"2021/08/16","901.00",
"2021/08/17","880.00",
"2021/08/18","912.00",
"2021/08/19","888.00",
"2021/08/20","873.00",
"2021/08/23","911.00",
"2021/08/24","909.00",
"2021/08/25","911.00",
"2021/08/26","888.00",
"2021/08/27","896.00",
"2021/08/30","912.00",
"2021/08/31","901.00",
"Monthly Closing Average Price","912.18",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

