"2021/05 Monthly Closing Average Price of 2454"
"Date","Closing Price",
"2021/05/03","1,105.00",
"2021/05/04","1,085.00",
"2021/05/05","1,005.00",
"2021/05/06","1,055.00",
"2021/05/07","1,060.00",
"2021/05/10","979.00",
"2021/05/11","911.00",
"2021/05/12","888.00",
"2021/05/13","873.00",
"2021/05/14","895.00",
"2021/05/17","914.00",
"2021/05/18","994.00",
"2021/05/19","943.00",
"2021/05/20","930.00",
"2021/05/21","955.00",
"2021/05/24","943.00",
"2021/05/25","952.00",
"2021/05/26","951.00",
"2021/05/27","935.00",
"2021/05/28","961.00",
"2021/05/31","995.00",
"Monthly Closing Average Price","968.05",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

