"2021/01 Monthly Closing Average Price of 2454"
"Date","Closing Price",
"2021/01/04","792.00",
"2021/01/05","797.00",
"2021/01/06","792.00",
"2021/01/07","799.00",
"2021/01/08","838.00",
"2021/01/11","851.00",
"2021/01/12","846.00",
"2021/01/13","884.00",
"2021/01/14","861.00",
"2021/01/15","850.00",
"2021/01/18","844.00",
"2021/01/19","879.00",
"2021/01/20","872.00",
"2021/01/21","934.00",
"2021/01/22","917.00",
"2021/01/25","910.00",
"2021/01/26","871.00",
"2021/01/27","897.00",
"2021/01/28","869.00",
"2021/01/29","875.00",
"Monthly Closing Average Price","858.90",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

