"2021/03 Monthly Closing Average Price of 2454"
"Date","Closing Price",
"2021/03/02","900.00",
"2021/03/03","930.00",
"2021/03/04","897.00",
"2021/03/05","883.00",
"2021/03/08","867.00",
"2021/03/09","879.00",
"2021/03/10","864.00",
"2021/03/11","888.00",
"2021/03/12","899.00",
"2021/03/15","907.00",
"2021/03/16","919.00",
"2021/03/17","908.00",
"2021/03/18","903.00",
"2021/03/19","885.00",
"2021/03/22","881.00",
"2021/03/23","870.00",
"2021/03/24","894.00",
"2021/03/25","949.00",
"2021/03/26","943.00",
"2021/03/29","941.00",
"2021/03/30","971.00",
"2021/03/31","969.00",
"Monthly Closing Average Price","906.68",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

