"2021/04 Monthly Closing Average Price of 2454"
"Date","Closing Price",
"2021/04/01","961.00",
"2021/04/06","995.00",
"2021/04/07","998.00",
"2021/04/08","1,020.00",
"2021/04/09","999.00",
"2021/04/12","960.00",
"2021/04/13","961.00",
"2021/04/14","965.00",
"2021/04/15","985.00",
"2021/04/16","975.00",
"2021/04/19","963.00",
"2021/04/20","998.00",
"2021/04/21","988.00",
"2021/04/22","984.00",
"2021/04/23","1,035.00",
"2021/04/26","1,070.00",
"2021/04/27","1,065.00",
"2021/04/28","1,080.00",
"2021/04/29","1,185.00",
"Monthly Closing Average Price","1,009.84",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

