"2021/07 Monthly Closing Average Price of 2454"
"Date","Closing Price",
"2021/07/01","955.00",
"2021/07/02","957.00",
"2021/07/05","957.00",
"2021/07/06","922.00",
"2021/07/07","917.00",
"2021/07/08","920.00",
"2021/07/09","919.00",
"2021/07/12","935.00",
"2021/07/13","926.00",
"2021/07/14","930.00",
"2021/07/15","951.00",
"2021/07/16","957.00",
"2021/07/19","919.00",
"2021/07/20","920.00",
"2021/07/21","912.00",
"2021/07/22","919.00",
"2021/07/23","933.00",
"2021/07/26","923.00",
"2021/07/27","938.00",
"2021/07/28","890.00",
"2021/07/29","933.00",
"2021/07/30","910.00",
"Monthly Closing Average Price","929.23",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

