"2021/06 Monthly Closing Average Price of 2454"
"Date","Closing Price",
"2021/06/01","977.00",
"2021/06/02","959.00",
"2021/06/03","981.00",
"2021/06/04","977.00",
"2021/06/07","973.00",
"2021/06/08","966.00",
"2021/06/09","967.00",
"2021/06/10","998.00",
"2021/06/11","980.00",
"2021/06/15","989.00",
"2021/06/16","985.00",
"2021/06/17","978.00",
"2021/06/18","965.00",
"2021/06/21","918.00",
"2021/06/22","903.00",
"2021/06/23","941.00",
"2021/06/24","929.00",
"2021/06/25","927.00",
"2021/06/28","935.00",
"2021/06/29","935.00",
"2021/06/30","962.00",
"Monthly Closing Average Price","959.29",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

